review_id,user_id,product_id,rating,review_text,created_at
1,62,1,5,"This sofa is incredibly comfortable and fits perfectly in my living room.",2024-09-08T02:31:46+00:00
2,43,2,4,"The car battery works well and was easy to install.",2024-01-17T11:58:28+00:00
3,35,3,5,"These vitamins have really improved my energy levels.",2024-02-01T07:37:22+00:00
4,81,4,4,"The smartphone has amazing features and a great camera.",2024-03-24T09:21:21+00:00
5,47,5,5,"This novel was a page-turner from start to finish.",2023-12-01T01:37:13+00:00
6,70,6,4,"My kids love these building blocks. They are very durable.",2023-12-22T23:35:28+00:00
7,80,7,3,"The t-shirt is comfortable but the color faded a bit after washing.",2024-02-01T16:55:40+00:00
8,83,8,5,"This organic pasta is delicious and cooks perfectly.",2024-04-02T13:22:15+00:00
9,39,9,4,"The running shoes are lightweight and provide great support.",2024-03-15T05:18:39+00:00
10,35,10,5,"This face cream leaves my skin feeling soft and hydrated.",2024-04-04T14:36:45+00:00
11,27,11,4,"The car battery has a long life and is very reliable.",2024-09-14T11:56:47+00:00
12,9,12,5,"The oil filter was easy to replace and works perfectly.",2024-02-03T00:22:16+00:00
13,35,13,4,"These brake pads provide excellent stopping power.",2024-08-25T23:31:45+00:00
14,9,14,5,"The car wax gives my car a brilliant shine.",2023-11-02T19:08:43+00:00
15,89,15,4,"The air freshener has a pleasant scent that lasts long.",2023-12-18T16:10:23+00:00
16,78,16,5,"The car cover fits perfectly and protects against the elements.",2024-04-21T02:58:43+00:00
17,40,17,4,"These windshield wipers are effective and easy to install.",2024-04-24T22:48:12+00:00
18,21,18,5,"The jump starter is a lifesaver for emergencies.",2024-05-17T09:04:37+00:00
19,68,19,4,"The car vacuum is compact and powerful.",2024-02-17T22:05:30+00:00
20,71,20,5,"The seat covers are stylish and easy to clean.",2024-09-23T00:41:45+00:00
21,31,21,5,"These vitamins have improved my overall health.",2023-11-06T22:16:21+00:00
22,13,22,4,"The protein powder mixes well and tastes great.",2024-01-06T18:55:14+00:00
23,89,23,5,"The yoga mat is comfortable and non-slip.",2024-07-14T21:09:54+00:00
24,91,24,4,"These resistance bands are perfect for home workouts.",2024-02-04T19:13:00+00:00
25,45,25,5,"The running shoes are perfect for my daily jogs.",2024-02-27T06:17:19+00:00
26,37,26,4,"The heart rate monitor is accurate and easy to use.",2024-10-01T04:22:40+00:00
27,83,27,5,"The blender is powerful and makes great smoothies.",2024-06-08T19:09:42+00:00
28,95,28,4,"The water bottle keeps my drinks cold for hours.",2024-02-14T22:51:39+00:00
29,43,29,5,"The massage gun is great for muscle recovery.",2024-05-10T06:31:03+00:00
30,11,30,4,"The smart scale provides detailed body composition data.",2024-07-26T09:45:19+00:00
31,97,31,5,"The smartphone is fast and has a great display.",2024-05-16T11:55:37+00:00
32,15,32,4,"The laptop is powerful and handles all my tasks easily.",2024-01-22T15:35:28+00:00
33,9,33,5,"The tablet is lightweight and perfect for travel.",2024-09-12T02:11:46+00:00
34,87,34,4,"The smartwatch is stylish and tracks my fitness well.",2024-01-18T23:28:04+00:00
35,12,35,5,"The headphones have excellent sound quality.",2024-08-17T15:19:31+00:00
36,78,36,4,"The camera takes clear and vibrant photos.",2024-04-01T20:16:44+00:00
37,39,37,5,"The smart TV has a stunning picture quality.",2024-03-04T14:47:06+00:00
38,76,38,4,"The game console offers a great gaming experience.",2024-04-10T02:17:47+00:00
39,21,39,5,"The wireless charger is fast and convenient.",2024-04-04T06:08:04+00:00
40,92,40,4,"The Bluetooth speaker has impressive sound for its size.",2024-09-10T21:32:17+00:00
41,18,41,5,"The novel was captivating and well-written.",2024-08-10T06:56:11+00:00
42,35,42,4,"The cookbook has a variety of delicious recipes.",2024-02-25T17:45:07+00:00
43,71,43,5,"The textbook is comprehensive and easy to understand.",2024-02-15T09:43:05+00:00
44,69,44,4,"The children's book is beautifully illustrated.",2024-03-23T13:57:37+00:00
45,91,45,5,"The travel guide was very helpful on my trip.",2024-06-15T08:57:22+00:00
46,53,46,4,"The self-help book was inspiring and motivational.",2023-10-29T17:06:43+00:00
47,98,47,5,"The graphic novel had stunning artwork.",2023-10-22T00:41:10+00:00
48,78,48,4,"The poetry collection was moving and thought-provoking.",2024-04-24T05:03:11+00:00
49,26,49,5,"The history book was detailed and informative.",2024-02-05T08:15:06+00:00
50,51,50,4,"The science fiction novel was thrilling and imaginative.",2024-09-07T04:05:47+00:00
51,25,51,5,"The building blocks are perfect for creative play.",2024-09-08T02:31:46+00:00
52,37,52,4,"The action figure is well-made and detailed.",2024-01-17T11:58:28+00:00
53,9,53,5,"The doll is beautiful and my daughter loves it.",2024-02-01T07:37:22+00:00
54,81,54,4,"The board game is fun and engaging for the whole family.",2024-03-24T09:21:21+00:00
55,47,55,5,"The puzzle was challenging and satisfying to complete.",2023-12-01T01:37:13+00:00
56,70,56,4,"The remote control car is fast and durable.",2023-12-22T23:35:28+00:00
57,80,57,5,"The stuffed animal is soft and cuddly.",2024-02-01T16:55:40+00:00
58,83,58,4,"The LEGO set is intricate and fun to build.",2024-04-02T13:22:15+00:00
59,39,59,5,"The Play-Doh set is great for creative play.",2024-03-15T05:18:39+00:00
60,35,60,4,"The train set is classic and well-made.",2024-04-04T14:36:45+00:00
61,27,61,5,"The t-shirt is comfortable and fits well.",2024-09-14T11:56:47+00:00
62,9,62,4,"The jeans are stylish and comfortable.",2024-02-03T00:22:16+00:00
63,35,63,5,"The jacket is warm and looks great.",2024-08-25T23:31:45+00:00
64,9,64,4,"The dress is elegant and perfect for special occasions.",2023-11-02T19:08:43+00:00
65,89,65,5,"The sneakers are trendy and comfortable.",2023-12-18T16:10:23+00:00
66,78,66,4,"The sweater is cozy and perfect for winter.",2024-04-21T02:58:43+00:00
67,40,67,5,"The hat is fashionable and fits well.",2024-04-24T22:48:12+00:00
68,21,68,4,"The scarf is warm and stylish.",2024-05-17T09:04:37+00:00
69,68,69,5,"The socks are comfortable and come in fun patterns.",2024-02-17T22:05:30+00:00
70,71,70,4,"The belt is durable and looks great.",2024-09-23T00:41:45+00:00
71,31,71,5,"The organic pasta is delicious and healthy.",2023-11-06T22:16:21+00:00
72,13,72,4,"The olive oil is high quality and flavorful.",2024-01-06T18:55:14+00:00
73,89,73,5,"The chocolate is rich and smooth.",2024-07-14T21:09:54+00:00
74,91,74,4,"The coffee beans make a perfect cup of coffee.",2024-02-04T19:13:00+00:00
75,45,75,5,"The tea blends are aromatic and relaxing.",2024-02-27T06:17:19+00:00
76,37,76,4,"The spices add great flavor to my dishes.",2024-10-01T04:22:40+00:00
77,83,77,5,"The granola is tasty and nutritious.",2024-06-08T19:09:42+00:00
78,95,78,4,"The jam is sweet and made with natural ingredients.",2024-02-14T22:51:39+00:00
79,43,79,5,"The cheese selection is perfect for gourmet tastes.",2024-05-10T06:31:03+00:00
80,11,80,4,"The crackers are crispy and delicious.",2024-07-26T09:45:19+00:00
81,97,81,5,"The running shoes are perfect for my workouts.",2024-05-16T11:55:37+00:00
82,15,82,4,"The yoga mat is comfortable and durable.",2024-01-22T15:35:28+00:00
83,9,83,5,"The tennis racket is high quality and well-balanced.",2024-09-12T02:11:46+00:00
84,87,84,4,"The football is durable and great for practice.",2024-01-18T23:28:04+00:00
85,12,85,5,"The basketball is perfect for indoor and outdoor use.",2024-08-17T15:19:31+00:00
86,78,86,4,"The golf clubs are great for all skill levels.",2024-04-01T20:16:44+00:00
87,39,87,5,"The baseball glove is comfortable and well-made.",2024-03-04T14:47:06+00:00
88,76,88,4,"The swim goggles are clear and comfortable.",2024-04-10T02:17:47+00:00
89,21,89,5,"The jump rope is perfect for cardio workouts.",2024-04-04T06:08:04+00:00
90,92,90,4,"The cycling helmet is lightweight and protective.",2024-09-10T21:32:17+00:00
91,18,91,5,"The face cream leaves my skin feeling soft and smooth.",2024-08-10T06:56:11+00:00
92,35,92,4,"The shampoo leaves my hair feeling clean and fresh.",2024-02-25T17:45:07+00:00
93,71,93,5,"The lipstick is vibrant and long-lasting.",2024-02-15T09:43:05+00:00
94,69,94,4,"The perfume has a lovely floral scent.",2024-03-23T13:57:37+00:00
95,91,95,5,"The body lotion is hydrating and smells great.",2024-06-15T08:57:22+00:00
96,53,96,4,"The foundation provides great coverage.",2023-10-29T17:06:43+00:00
97,98,97,5,"The nail polish is glossy and dries quickly.",2023-10-22T00:41:10+00:00
98,78,98,4,"The hair dryer is powerful and dries my hair quickly.",2024-04-24T05:03:11+00:00
99,26,99,5,"The face mask is refreshing and rejuvenating.",2024-02-05T08:15:06+00:00
100,51,100,4,"The eye cream reduces wrinkles and feels great.",2024-09-07T04:05:47+00:00
